Sample 0, Epoch 0, Top1 accuracy: 69.37999725341797) 
Sample 1, Epoch 0, Top1 accuracy: 69.24199676513672) 
Sample 2, Epoch 0, Top1 accuracy: 69.50599670410156) 
Sample 3, Epoch 0, Top1 accuracy: 69.31199645996094) 
Sample 4, Epoch 0, Top1 accuracy: 69.36799621582031) 
Sample 5, Epoch 0, Top1 accuracy: 69.45800018310547) 
Sample 6, Epoch 0, Top1 accuracy: 69.47599792480469) 
Sample 7, Epoch 0, Top1 accuracy: 69.33200073242188) 
Sample 8, Epoch 0, Top1 accuracy: 69.42599487304688) 
Sample 9, Epoch 0, Top1 accuracy: 69.36399841308594) 
Sample 10, Epoch 0, Top1 accuracy: 69.20199584960938) 
Sample 11, Epoch 0, Top1 accuracy: 69.45999908447266) 
Sample 12, Epoch 0, Top1 accuracy: 69.41999816894531) 
Sample 13, Epoch 0, Top1 accuracy: 69.48799896240234) 
Sample 14, Epoch 0, Top1 accuracy: 69.28800201416016) 
Sample 15, Epoch 0, Top1 accuracy: 69.36199951171875) 
Sample 16, Epoch 0, Top1 accuracy: 69.40999603271484) 
Sample 17, Epoch 0, Top1 accuracy: 69.46399688720703) 
Sample 18, Epoch 0, Top1 accuracy: 69.31800079345703) 
Sample 19, Epoch 0, Top1 accuracy: 69.41400146484375) 
Sample 20, Epoch 0, Top1 accuracy: 69.35399627685547) 
Sample 21, Epoch 0, Top1 accuracy: 69.30599975585938) 
Sample 22, Epoch 0, Top1 accuracy: 69.3499984741211) 
Sample 23, Epoch 0, Top1 accuracy: 69.34600067138672) 
Sample 24, Epoch 0, Top1 accuracy: 69.40999603271484) 
Sample 25, Epoch 0, Top1 accuracy: 69.60800170898438) 
Sample 26, Epoch 0, Top1 accuracy: 69.4939956665039) 
Sample 27, Epoch 0, Top1 accuracy: 69.40399932861328) 
Sample 28, Epoch 0, Top1 accuracy: 69.48799896240234) 
Sample 29, Epoch 0, Top1 accuracy: 69.2439956665039) 
Sample 30, Epoch 0, Top1 accuracy: 69.44200134277344) 
Sample 31, Epoch 0, Top1 accuracy: 69.36799621582031) 
Sample 32, Epoch 0, Top1 accuracy: 69.48799896240234) 
Sample 33, Epoch 0, Top1 accuracy: 69.43000030517578) 
Sample 34, Epoch 0, Top1 accuracy: 69.5979995727539) 
Sample 35, Epoch 0, Top1 accuracy: 69.25999450683594) 
Sample 36, Epoch 0, Top1 accuracy: 69.40799713134766) 
Sample 37, Epoch 0, Top1 accuracy: 69.37200164794922) 
Sample 38, Epoch 0, Top1 accuracy: 69.41199493408203) 
Sample 39, Epoch 0, Top1 accuracy: 69.51200103759766) 
Sample 40, Epoch 0, Top1 accuracy: 69.30799865722656) 
Sample 41, Epoch 0, Top1 accuracy: 69.37799835205078) 
Sample 42, Epoch 0, Top1 accuracy: 69.26799774169922) 
Sample 43, Epoch 0, Top1 accuracy: 69.26200103759766) 
Sample 44, Epoch 0, Top1 accuracy: 69.50999450683594) 
Sample 45, Epoch 0, Top1 accuracy: 69.36399841308594) 
Sample 46, Epoch 0, Top1 accuracy: 69.53800201416016) 
Sample 47, Epoch 0, Top1 accuracy: 69.59199523925781) 
Sample 48, Epoch 0, Top1 accuracy: 69.39599609375) 
Sample 49, Epoch 0, Top1 accuracy: 69.42399597167969) 
*** Average Top1 accuracy: 69.40048217773438 
